date,league,home_team,away_team,home_rank,away_rank,home_form,away_form,home_expected_goals,away_expected_goals,home_goals,away_goals,result,prob_home,prob_draw,prob_away
2010-01-02,EPL,CrystalPalace,AstonVilla,11,9,0.752,0.561,1.685,0.839,4,0,H,0.626,0.048,0.327
2010-01-02,EPL,AstonVilla,CrystalPalace,20,10,0.481,0.53,1.617,0.767,2,0,H,0.682,0.048,0.27
2010-01-02,EPL,CrystalPalace,Everton,6,12,0.361,0.694,1.291,0.994,0,0,D,0.43,0.11,0.46
2010-01-04,EPL,Fulham,Brentford,10,6,0.475,0.771,1.415,0.989,6,0,H,0.477,0.099,0.423
2010-01-04,EPL,Nottingham,Wolves,13,19,0.757,0.919,1.457,1.129,4,1,H,0.381,0.048,0.571
2010-01-04,EPL,CrystalPalace,Wolves,20,8,0.688,0.305,1.588,0.774,1,0,H,0.52,0.073,0.407
2010-01-05,EPL,Bournemouth,ManCity,6,13,0.514,0.604,1.73,0.737,3,0,H,0.829,0.048,0.124
2010-01-06,EPL,Liverpool,Bournemouth,5,5,0.523,0.901,1.548,0.975,2,1,H,0.594,0.048,0.359
2010-01-06,EPL,CrystalPalace,AstonVilla,5,13,0.559,0.723,1.439,0.987,0,0,D,0.442,0.121,0.437
2010-01-07,EPL,CrystalPalace,Nottingham,20,1,0.877,0.792,1.964,0.802,2,0,H,0.689,0.048,0.264
2010-01-08,EPL,Tottenham,ManCity,1,15,0.176,0.37,1.348,0.757,1,0,H,0.595,0.048,0.357
2010-01-09,EPL,ManUnited,Wolves,12,11,0.973,0.871,1.981,0.859,1,1,D,0.733,0.048,0.219
2010-01-09,EPL,WestHam,Bournemouth,10,11,0.892,0.515,1.468,1.013,1,0,H,0.346,0.048,0.606
2010-01-09,EPL,WestHam,Luton,11,8,0.668,0.532,1.503,0.911,2,0,H,0.441,0.122,0.438
2010-01-09,EPL,Chelsea,Brighton,5,8,0.741,0.622,1.517,0.966,2,1,H,0.427,0.106,0.467
2010-01-10,EPL,Luton,Chelsea,17,12,0.794,0.539,1.671,0.855,3,0,H,0.534,0.065,0.401
2010-01-10,EPL,Newcastle,Luton,14,9,0.379,0.506,1.301,0.919,0,2,A,0.425,0.101,0.474
2010-01-10,EPL,Everton,Tottenham,9,6,0.648,0.597,1.393,0.999,0,1,A,0.37,0.048,0.582
2010-01-10,EPL,Liverpool,Everton,4,11,0.605,0.467,2.0,0.545,2,0,H,0.861,0.048,0.091
2010-01-10,EPL,WestHam,Arsenal,4,3,0.664,0.208,1.414,0.837,3,1,H,0.387,0.048,0.565
2010-01-10,EPL,Brighton,Arsenal,6,6,0.12,0.324,1.253,0.778,1,1,D,0.569,0.048,0.383
2010-01-11,EPL,AstonVilla,Nottingham,9,15,0.616,0.459,1.425,0.912,2,0,H,0.42,0.094,0.486
2010-01-12,EPL,Fulham,Chelsea,1,4,0.362,0.223,1.239,0.839,2,3,A,0.393,0.052,0.556
2010-01-12,EPL,Everton,Fulham,13,8,0.214,0.266,0.967,0.973,0,0,D,0.225,0.048,0.727
2010-01-13,EPL,Sheffield,Tottenham,15,16,0.469,0.082,1.406,0.717,0,2,A,0.467,0.106,0.427
2010-01-14,EPL,CrystalPalace,Brentford,17,9,0.984,0.381,1.739,0.821,0,1,A,0.502,0.084,0.414
2010-01-15,EPL,Bournemouth,Arsenal,11,13,0.537,0.812,1.839,0.759,1,0,H,0.835,0.048,0.117
2010-01-16,EPL,Luton,Sheffield,5,11,0.046,0.491,0.87,1.06,2,0,H,0.308,0.048,0.645
2010-01-18,EPL,ManUnited,Brentford,4,4,0.475,0.53,1.393,0.907,2,0,H,0.448,0.117,0.435
2010-01-18,EPL,Brighton,Luton,13,8,0.473,0.214,1.562,0.672,2,0,H,0.671,0.048,0.281
2010-01-18,EPL,Luton,Bournemouth,1,8,0.152,0.818,1.167,1.043,0,2,A,0.429,0.108,0.463
2010-01-19,EPL,ManCity,Arsenal,15,1,0.262,0.669,1.323,0.926,2,2,D,0.518,0.075,0.408
